"MAC Source","MAC Destination","Source","Destination","Protocol","Length","NDP Message"
"02:00:00:00:00:06","33:33:ff:c8:00:00","fe80::ff:fe00:6","ff02::1:ffc8:0","ICMPv6","86","Neighbor Solicitation"
"02:00:00:00:00:06","33:33:00:01:00:03","fe80::ff:fe00:6","ff02::1:3","LLMNR","84",""
"02:00:00:00:00:06","33:33:00:01:00:03","fe80::ff:fe00:6","ff02::1:3","LLMNR","84",""
"c4:01:12:c8:00:00","02:00:00:00:00:06","fe80::c601:12ff:fec8:0","fe80::ff:fe00:6","ICMPv6","86","Neighbor Advertisement"
"02:00:00:00:00:06","33:33:00:01:00:03","fe80::ff:fe00:6","ff02::1:3","LLMNR","84",""
"02:00:00:00:00:06","33:33:00:01:00:03","fe80::ff:fe00:6","ff02::1:3","LLMNR","84",""
"02:00:00:00:00:06","c4:01:12:c8:00:00","2000::ff:fe00:6","fec0:0:0:ffff::3","DNS","96",""
"c4:01:12:c8:00:00","33:33:ff:00:00:06","2000::c601:12ff:fec8:0","ff02::1:ff00:6","ICMPv6","86","Neighbor Solicitation"
"02:00:00:00:00:06","c4:01:12:c8:00:00","2000::ff:fe00:6","2000::c601:12ff:fec8:0","ICMPv6","86","Neighbor Advertisement"
"c4:01:12:c8:00:00","02:00:00:00:00:06","2000::c601:12ff:fec8:0","2000::ff:fe00:6","ICMPv6","144","Destination Unreachable"
"02:00:00:00:00:06","c4:01:12:c8:00:00","2000::ff:fe00:6","fec0:0:0:ffff::2","DNS","96",""
"c4:01:12:c8:00:00","02:00:00:00:00:06","2000::c601:12ff:fec8:0","2000::ff:fe00:6","ICMPv6","144","Destination Unreachable"
"02:00:00:00:00:06","c4:01:12:c8:00:00","2000::ff:fe00:6","fec0:0:0:ffff::1","DNS","96",""
"c4:01:12:c8:00:00","02:00:00:00:00:06","2000::c601:12ff:fec8:0","2000::ff:fe00:6","ICMPv6","144","Destination Unreachable"
"c4:01:12:c8:00:00","02:00:00:00:00:06","fe80::c601:12ff:fec8:0","fe80::ff:fe00:6","ICMPv6","86","Neighbor Solicitation"
"02:00:00:00:00:06","c4:01:12:c8:00:00","fe80::ff:fe00:6","fe80::c601:12ff:fec8:0","ICMPv6","86","Neighbor Advertisement"
"02:00:00:00:00:06","c4:01:12:c8:00:00","2000::ff:fe00:6","fec0:0:0:ffff::1","DNS","96",""
"02:00:00:00:00:06","c4:01:12:c8:00:00","2000::ff:fe00:6","fec0:0:0:ffff::2","DNS","96",""
"02:00:00:00:00:06","c4:01:12:c8:00:00","2000::ff:fe00:6","fec0:0:0:ffff::3","DNS","96",""
"c4:01:12:c8:00:00","02:00:00:00:00:06","2000::c601:12ff:fec8:0","2000::ff:fe00:6","ICMPv6","144","Destination Unreachable"
"c4:01:12:c8:00:00","02:00:00:00:00:06","2000::c601:12ff:fec8:0","2000::ff:fe00:6","ICMPv6","144","Destination Unreachable"
"c4:01:12:c8:00:00","02:00:00:00:00:06","2000::c601:12ff:fec8:0","2000::ff:fe00:6","ICMPv6","144","Destination Unreachable"
"02:00:00:00:00:06","c4:01:12:c8:00:00","2000::ff:fe00:6","2000::c601:12ff:fec8:0","ICMPv6","86","Neighbor Solicitation"
"c4:01:12:c8:00:00","02:00:00:00:00:06","2000::c601:12ff:fec8:0","2000::ff:fe00:6","ICMPv6","78","Neighbor Advertisement"
"02:00:00:00:00:06","c4:01:12:c8:00:00","2000::ff:fe00:6","fec0:0:0:ffff::1","DNS","96",""
"02:00:00:00:00:06","c4:01:12:c8:00:00","2000::ff:fe00:6","fec0:0:0:ffff::2","DNS","96",""
"02:00:00:00:00:06","c4:01:12:c8:00:00","2000::ff:fe00:6","fec0:0:0:ffff::3","DNS","96",""
"c4:01:12:c8:00:00","02:00:00:00:00:06","2000::c601:12ff:fec8:0","2000::ff:fe00:6","ICMPv6","144","Destination Unreachable"
"c4:01:12:c8:00:00","02:00:00:00:00:06","2000::c601:12ff:fec8:0","2000::ff:fe00:6","ICMPv6","144","Destination Unreachable"
